"date","team","goals","elo","rank","match_id","stage"
"13-Feb-2002","Belgium",1,1834,18,"2002-15","Friendly"
"13-Feb-2002","Norway",0,1737,30,"2002-15","Friendly"
"13-Feb-2002","Croatia",0,1870,9,"2002-16","Friendly"
"13-Feb-2002","Bulgaria",0,1685,42,"2002-16","Friendly"
"13-Feb-2002","France",2,2114,1,"2002-17","Friendly"
"13-Feb-2002","Romania",1,1810,22,"2002-17","Friendly"
"13-Feb-2002","Germany",7,1869,10,"2002-18","Friendly"
"13-Feb-2002","Israel",1,1658,46,"2002-18","Friendly"
"13-Feb-2002","Greece",2,1655,48,"2002-19","Friendly"
"13-Feb-2002","Sweden",2,1881,8,"2002-19","Friendly"
"13-Feb-2002","Ireland",2,1861,12,"2002-20","Friendly"
"13-Feb-2002","Russia",0,1818,16,"2002-20","Friendly"
"13-Feb-2002","Italy",1,2016,1,"2002-21","Friendly"
"13-Feb-2002","United States",0,1797,24,"2002-21","Friendly"
"13-Feb-2002","Netherlands",1,1987,5,"2002-22","Friendly"
"13-Feb-2002","England",1,1931,7,"2002-22","Friendly"
"13-Feb-2002","Paraguay",2,1712,37,"2002-23","Friendly"
"13-Feb-2002","Bolivia",2,1557,60,"2002-23","Friendly"
"13-Feb-2002","Poland",4,1749,29,"2002-24","Friendly"
